org_nr,bolagsnamn,ort,elzon,tier,poang,vd_namn,epost,telefon,webb,anstallda,omsattning_kkr,marken,partner_niva,kalla,pitch_vinkel,anteckning
,Johanneberg Ror Ab,Fjaras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Johanssons Vvs Ab,Strangnas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Jonkoping Installationstjanst Ab,Jonkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Jordens Basta Vvs Ab,Tranas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Js Vvs I Norrtalje Ab,Norrtalje,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Kalmar Ror Ab,Kalmar,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Kalmarsunds Ror Ab,Kalmar,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Kangers Vvs Ab,Hyssna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Karlskoga Rorservice Ab,Karlskoga,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Karlstads Vvs,Lantbrukstjanst Ab  Karlstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Kungsors Ror Vvs Ab,Kungsor,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Kyle Vvs Ab,Skara,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Landora Ror Ab,Enkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lejonet Ror Ab,Nassjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lena Vvs Ab,Lena,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lerums Rorservice Ab,Lerum,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lf Energi Och Kyla Ab,Orebro,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lindesberg Rostorp Ror Ab,Lindesberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lindkvists Vvs Ab,Nassjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lindqvists Ror Ab,Boras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Linkopings Vvs Ab,Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Lostagards Ror Ab,Boras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Magnus Peterssons Vvs Ab,Kungsbacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Marsta Vvs Ab,Marsta,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mellbyns Rorservice Ab,Mellbystrand,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mellstrom Ror Ab,Skene,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mercurius Energi Ab,Nykoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mil El O Vvs I Ostergotland Ab,Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mill Energi Ab,Nassjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Molndals Varme Ab,Molndal,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Morgonstjarnan Ror Ab,Sunne,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Mossboda Vvs Ab,Haby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Motala Kylen Ab,Motala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Aborred Ror,Ab  Munkedal,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Bjork,Lind Ror Ab  Tanumshede,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Fruktan Ab,Orust,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Installation I Brottby Ab,Brottby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Kungsholmen Vvs Ab,Stockholm,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Malaxhuse Ror Ab,Lysekil,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Masab Ror Ab,Alingsas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Rorstrom I Karlstad Ab,Karlstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vattenfall Heat Pump Service Ab,Hagfors,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vattenfall Heat Pump Service Ab,Karlstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vattenfall Heat Pump Service Ab,Vasteras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nordbergs Ror Ab,Falkenberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nordens Bergvarmepumpar Ab,Halmstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nordisk Kyl,Service Ab  Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Norrkopings Kylen Ab,Norrkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Norskogs Ror Ab,Karlstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Nossebro El,Vvs Ab  Nossebro,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Odsmals Rorlaggeri Ab,Odsmal,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ola Westman Ror,Goteborg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Orebro Vvs Ab,Orebro,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Oregrunds El,Vvs Ab  Oregrund,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Oringe Ror Ab,Tyreso,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ostgota Varmepumpsteknik,Atvidaberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pagelmans Ror Ab,Stenungsund,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pagelmans Ror Ab,Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pelle Petter Ab,Huskvarna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Per Ols Ror,Kyla Ab  Nacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Per Persons Vvs,Rottne,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Perssons Ror Ab,Lessebo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Plc Miljo Ab,Norrkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pmab Ror Ab,Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Precis Energi Ab,Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Prima Rorinstallationer I Visby Ab,Visby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pro Ror,Varme Ab  Herrljunga,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pro Ror,Varme Ab  Lidkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pronordic Ab,Sollentuna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Provag Energi Ab,Vasteras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Pumpterminalen I Jonkoping Ab,Jonkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rafael Fernandez Rorinstallationer Ab,Uppsala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ragnar Graffman Vvs Ab,Vasteras,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rakt Ror Ab,Motala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rakt Ror Ab,Mjolby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rbd Ror Ab,Nacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Restaurang Ror Ab,Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ro Installationer Ab,Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ror Gruppen Gotland Ab,Visby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ror Halland Ab,Kungsbacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ror Tjansen I Norrtelje Ab,Norrtalje,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rors Rorstudio Ab,Vimmerby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rorsmorpan Ab,Norrahammar,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Rortekniken Ab,Halmstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,S Varme Ab,Hallsberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Serneke Installation Ab,Gothenburg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Service Kyla Ab,Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sjobergs Ror Ab,Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Skovde Rorservice Ab,Skovde,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Smalands Rorservice Ab,Eksjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Smalands Rorservice Ab,Nassjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Soberg,Soderstrom Ror Ab  Gnesta,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sodra Vi Varmepumpservice Ab,Kisa,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sodregards Ror,Maskin Ab  Vaxjo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sone El Ab,Lidkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sp Rorservice,Svenljunga,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stallets Rorlaggeri Ab,Ytterby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Steffes Kyl,Varmepumpar Ternstedt Invent Ab  Linkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stenso Varme,Sanitet Ab  Kalmar,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stetab Vvs,Brunnsborrning  Stjarnhov,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stigs Rorlaggeri Ab,Lindome,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stockholm Pool,Varme Ab  Huddinge,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stockholms Ror,Vvs Ab              Lidingo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Strangnas Rortjanst Ab,Strangnas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stromlunds Ror Ab,Trollhattan,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stromstad Rorservice Ab,Stromstad,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Stures Rorinstallationer Ab,Borensberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sundbyholms Vvs Ab,Eskilstuna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sven Olovs El,Vvs  Upplands Vasby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Svenljunga El Ab,Svenljunga,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Svensk Installation Vast Ab,Arjang,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Svensk Kylservice I Goteborg Ab,Goteborg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Svensk Villavarme Ab,Hisings Backa,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Svenssons Ror Ab,Bor,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Sweror Ab,Eskilstuna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Taby Vvs,Service Ab  Taby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Talje Vvs Ab,Sodertalje,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Taussons Ror Ab,Uddevalla,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Tbb Ror,Vvs Service Ab  Taby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Themptander Vvs Ab,Skogas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Thimsfors Vvs Ab,Skummeslovstrand,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Tjallmo Vatten,Varme Ab  Tjallmo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Tomas Enoksson Rormokeri & Fast.Service,Ostervala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Torbjornsgardens Vvs Ab,Vara,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Trs,Tingdahls Rorservice Ab  Tingsryd,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Ts Ror Ab,Heby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Tullinge Ror Ab,Tullinge,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Tunabergs Vvs Ab,Nykoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Turex Ror Ab,Saltsjo Boo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Unnaryds Varme,Sanitet Ab  Unnaryd,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Upplands Energi Produkt,Miljo Ab  Uppsala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Upplands Kyl,Varme Ab  Uppsala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vadsbo Kylteknik Ab,Moholm,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vallsater Ror Ab,Alunda,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vanersnas Rorservice Ab,Vanersnas,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vargarda Vvs Ab,Vargarda,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varme,Konstruktionskansla I Trosa Ab  Trosa,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varme,Sanitet I Huskvarna Ab  Huskvarna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varme & Sanitet A. Palmer Ab,Vimmerby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varmepumpsgruppen Mitt Ab,Eskilstuna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varmeservice I Veddige Ab,Veddige,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varmeservice Uddevalla Ab,Uddevalla,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varmespecialisten Ab,Kungsbacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Varnamo Forsheda Ror Ab,Varnamo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vastkustkyl,Varme Ab  Alvangen,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vastsvenska Varme,Sanitet Ab  Ed,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vatten,Varme I Norberg  Norberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vatten,Varmeteknik Ab  Hogsater,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vfs Varberg Ab,Varberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vi Varmer Sverige Ab,Huddinge,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vi Varmer Sverige Ab,Hagersten,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vi Varmer Sverige Ab,Sollentuna,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vi Varmer Sverige Ab,Taby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Villavarme I Ostergotland Ab,Motala,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Villavarme I Ostergotlandab,Norrkoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Votab Vvs,Varmeinstallation Ab  Varberg,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vs Installation I Kalmar Ab,Kalmar,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vvs Akuten I Sodertorn Ab,Segersang,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Vvs Kompaniet Ab,Saffle,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Wahlgren Ror Ab,Norrtalje,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Walfridssons Ror Ab,Lessebo,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Walthers Kyl,Varmepumpservice  Nykoping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Wastvinds Vvs Ab,Koping,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Wiklunds Kylteknik Ab,Kungsbacka,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Wikmans Vvs Ab,Ekero,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Wrandings Rormokeri Ab,Balsta,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,Yttergrens Ror Ab,Visby,SE3,B,5,,,,,,,NIBE,installator,NIBE,,
,IVT-Center Vimmerby,Vimmerby,SE3,B,5,,,0702044073,,,,IVT,IVT Center,IVT,SE3 + IVT Center; liten ort men aktiv,
,Värme & Kylteknik i Vassmolösa AB,Kalmar,SE3,B,5,,,048032190,,,,IVT,IVT Center,IVT,SE3 + IVT Center; Kalmar,
,IVT Center/Miljö- VVS- & Energicent (MVE),Linköping,SE3,B,5,,,013106000,,,,IVT,IVT Center,IVT,SE3 + IVT Center; stor stad,
,IVT Center Värnamo,Värnamo,SE3,B,5,,,037026165,,,,IVT,IVT Center,IVT,SE3 + IVT Center,
,IVT Center/Team PTL AB,Växjö,SE3,B,5,,,047021190,,,,IVT,IVT Center,IVT,SE3 + IVT Center,
,IVT-Center Väst / Trestad,Trollhättan,SE3,B,5,,,0520526461,,,,IVT,IVT Center,IVT,SE3 + IVT Center; täcker Trestad,
,Energirör (IVT Center 7H),Borås,SE3,B,5,,,033139410,,,,IVT,IVT Center,IVT,SE3 + IVT Center; Sjuhärad,
,IVT Center Köping,Köping,SE3,B,5,,,022124040,,,,IVT,IVT Center,IVT,SE3 + IVT Center,
,Mälardalens Värmepumpscenter AB,Eskilstuna,SE3,B,5,,,020510200,,,,IVT,IVT Center,IVT,SE3 + IVT Center; No1 service,
,Mälardalens Värmepumpscenter,Liljeholmen,SE3,B,5,,,020510200,,,,IVT,IVT Center,IVT,SE3 + IVT Center; Stockholm,
,Rördoktorn/IVT-Center,Haninge,SE3,B,5,,,087771500,,,,IVT,IVT Center,IVT,SE3 + IVT Center; Stockholm,
,Värmekällan Väst AB,Sävedalen (Göteborg),SE3,B,5,,info@ivtcenter.se,0313369050,,,,IVT,IVT Center,IVT,SE3 + IVT Center; Nordens första IVT Center; täcker halva Sverige väster,
,Aircontrol I Boras Ab,Boras,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Anders Johanssons Energiteknik Vvs,Ab  Ankarsrum,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Beckmanns Vvs,Energiteknik  Jonkoping,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Steffes Kyl,Varmepumpar Ternstedt Invent Ab  Atvidaberg,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Steffes Kyl,Varmepumpar Ternstedt Invent Ab  Rimforsa,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Upplands Energi Produkt,Miljo Ab  Bjorklinge,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Walthers Kyl,Varmepumpservice Ab  Norrkoping,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Walthers Kyl,Varmepumpservice Ab  Nykoping,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Westheat Ab,Hisings Backa,SE3,B,4,,,,,,,NIBE,service,NIBE,,
,Johan Wirsén AB,Uppsala,SE3,B,4,,,0187501188,,,,IVT,Standard,IVT,SE3 + Standard,
,Evepe AB,Bro,SE3,B,4,,,0858175544,,,,IVT,Standard,IVT,SE3,
,Huddinge Maskinservice,Huddinge,SE3,B,4,,,087116606,,,,IVT,Standard,IVT,SE3,
556485-3405,Revider Energi AB,Sollentuna,SE3,B,4,Ordf: Erik Björklund,,0840832634,,2,29947,IVT,Standard,"IVT, Sparc",SE3,
,Värmedynamik i Södertälje AB,Södertälje,SE3,B,4,,,0855807580,,,,IVT,Standard,IVT,SE3,
,Team Wåhlin Värmeteknik AB,Vallentuna,SE3,B,4,,,0851170499,,,,IVT,Standard,IVT,SE3; IVT-serviceombud sedan 1999,
,Energipartner Sverige AB,Bromma,SE3,B,4,,kontakt@energipartner.se,08802805,,,,"Daikin, IVT",Standard,"Daikin, IVT",SE3; även Daikin-partner,
,Kyl & Värmepumpservice i Sthlm AB,Järfälla,SE3,B,4,,,0858010030,,,,IVT,Standard,IVT,SE3,
,VärmeKompaniet Stockholm AB,Saltsjö-Boo,SE3,B,4,,,087182838,,,,IVT,Standard,IVT,SE3,
,Effektiv Energi Stockholm AB,Märsta,SE3,B,4,,,0859118400,,,,IVT,Standard,IVT,SE3; täcker Sigtuna/Märsta,
,Energikomfort Sverige AB,Täby,SE3,B,4,,,0858867150,,,,IVT,Standard,IVT,SE3; Täby/Stockholm,
,Energieffektivisering i Sverige AB,Lidingö,SE3,B,4,,,08279200,,,,IVT,Standard,IVT,SE3,
,Inneklimat AB,Skå,SE3,B,4,,,0856024800,,,,IVT,Standard,IVT,SE3,
,Relax Rör,Tyresö,SE3,B,4,,,087703332,,,,IVT,Standard,IVT,SE3,
,BST Värmepumpar,Älvsjö,SE3,B,4,,,0707286095,,,,IVT,Standard,IVT,SE3,
,Perssons Rör & Värme AB,Jönköping,SE3,B,4,,,036349240,,,,IVT,Standard,IVT,SE3,
,Energihuset Försäljnings AB Hardy H,Norrköping,SE3,B,4,,,,,,,IVT,Standard,IVT,SE3,
,GS Kylservice AB,Linköping,SE3,B,4,,,013212010,,,,IVT,Standard,IVT,SE3,
,Västgötarör AB,Skövde,SE3,B,4,,,,,,,IVT,Standard,IVT,SE3,
,Lundgrens Rör i Vedum AB,Vedum,SE3,B,4,,,,,,,IVT,Standard,IVT,SE3,
,Värmepumpcenter Örebro,Örebro,SE3,B,4,,,,,,,IVT,Standard,IVT,SE3; ej Enwell,
,Energioptimering i Norden AB,Skene,SE3,B,4,,info@eoptimering.se,0301770050,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Göteborg-täckning; luft/vatten + berg
,Energilagret - Halmstad,Halmstad,SE3,B,4,,hej@energilagret.se,0102022330,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Halmstad; luft/vatten + berg
,Värme Konsulten i Sverige AB,Norberg,SE3,B,4,,varmekonsultenab@gmail.com,0706663610,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; luft/vatten + berg
,JZ Service AB,Kungsbacka,SE3,B,4,,info@jzkylovarme.se,0733820097,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Kungsbacka; full-service
,Kyl och Värmepumpsbolaget i Sverige,Uppsala,SE3,B,4,,info@kylochvarme.nu,018101718,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Uppsala; luft/vatten
,AM Kyla Värmeteknik AB,Enköping,SE3,B,4,,info@amkylavarme.se,0739089600,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Enköping
,Mälardalens Elektriska AB,Kungsör,SE3,B,4,,malardalensel@telia.com,0706005622,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Kungsör
,Energi Värmeteknik i Östra Sverige AB,Mantorp,SE3,B,4,,evt.stefan@gmail.com,0708298590,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Mantorp
,Värmekällan i Sverige AB,Tranås,SE3,B,4,,info@varmekallan.se,014012875,,,,Daikin,Auktoriserad Daikin,Daikin,,SE3; Tranås
,Avent Kyl AB,Kalmar,SE3,B,4,,info@avent.se,+46480493131,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; brett vattenburet fokus; stark OPTi-relevans
,Kyl-Bergman AB,Västervik,SE3,B,4,,info@kyl-bergman.nu,+4649021551,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Västervik
,Berglunds Rör i Vegby AB,Gällstad,SE3,B,4,,jakob@berglundsror.se,+4632172031,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Borås/Ulricehamn; berg-specialister
,Borgätningen Borås Elektrokyl-Energiteknik,Borås,SE3,B,4,,info@elektrokyl.se,+4633205520,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Borås; sol-el + styrsystem → nära OPTi-världen
,Svensk Kylservice AB,Göteborg,SE3,B,4,,info@svenskkylservice.se,031824818,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Göteborg + 16 kommuner; luft/vatten + berg
,KylKontroll Göteborg AB,Västra Frölunda,SE3,B,4,,info@kylkontroll.se,031685720,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Göteborg; certifierat kylteknikföretag
,S-VÄRME AB,Hallsberg,SE3,B,4,,svarme@telia.com,+4619582130,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Hallsberg; 30 år; luft/vatten + berg
,Klimatpartner i Sverige AB,Örebro,SE3,B,4,,info@klimatpartner.com,+46191210121,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Örebro; grundat 2016; 80+ år sammanlagd erfarenhet
,Kyl & Värmepumpservice i Halmstad AB,Halmstad,SE3,B,4,,info@kylservice.se,+4635173910,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Halmstad
,Varma Huset i Sollentuna AB,Järfälla,SE3,B,4,,john@varmahuset.se,+46858350053,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Järfälla/Trosa; tyst ME = luft/vatten
,Upplands Kyl & Värme AB,Uppsala,SE3,B,4,,info@upplandskylovarme.se,+46184444040,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Uppsala
,Allklimat Fastigheter AB,Upplands Väsby,SE3,B,4,,info@allklimat.se,0851496250,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Sthlm-region; bergvärme-specialist (Geodan)
,Din värmepump Gotland AB,Visby,SE3,B,4,,info@dinvarmepump.se,0498241129,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE3; Gotland; ej topprioritet
,Martin Palmqvist VVS,Fagersta,SE3,B,,Per Per Martin Palmqvist,offert@palmqvistvvs.se,022316110,https://www.bad-varme.se/ort/fagersta/,6,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,VVS-Service i Knislinge,Hanaskog,SE3,B,,Carl Carl Oskar Roger Nordström,oskar@savvs.se,044–61411,https://www.bad-varme.se/ort/hanaskog/,14,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Hova Rörledningsaffär,Hova,SE3,B,,Anna Anna Ingeborg Danielsson,info@hovaror.com,050630795,https://www.bad-varme.se/ort/hova/,47,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Service & Fastighet i Skåne,Hörby,SE3,B,,Jacob Jacob Killian Grubits,sofror.og@gmail.com,0707128734,https://www.bad-varme.se/ort/horby/,46,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Bad & Värme i Laholm,Laholm,SE3,B,,Peter Peter Willhelm Johansson,butik.laholm@bad-varme.se,043010000(09:00–16:00),https://www.bad-varme.se/ort/laholm/,79,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Installationsgruppen,Sälen,SE3,B,,Anders Anders Erik Valter Karlsson,badovarme@installationsgruppen.com,028020775,https://www.bad-varme.se/ort/salen/,43,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
